condition,band_idx,r_min,logit_drop
clean,0,0.0,0.3730687
clean,0,0.0,0.026549816
clean,0,0.0,0.5777106
clean,0,0.0,0.35699224
clean,0,0.0,0.7984705
clean,0,0.0,0.5808573
clean,0,0.0,0.46543503
clean,0,0.0,0.45405293
clean,0,0.0,0.031542778
clean,0,0.0,0.12776232
clean,0,0.0,0.38180637
clean,0,0.0,-0.0018680096
clean,0,0.0,-0.06285453
clean,0,0.0,-0.15005636
clean,0,0.0,0.8356111
clean,0,0.0,-0.17066622
clean,0,0.0,0.13464212
clean,0,0.0,0.275254
clean,0,0.0,-0.26442146
clean,0,0.0,0.325536
clean,0,0.0,0.036248446
clean,0,0.0,0.6040387
clean,0,0.0,0.67879725
clean,0,0.0,0.09398508
clean,0,0.0,0.15089512
clean,0,0.0,-0.023376226
clean,0,0.0,0.6142764
clean,0,0.0,0.120098114
clean,0,0.0,0.7353244
clean,0,0.0,0.6264143
clean,0,0.0,0.77858543
clean,0,0.0,0.04608631
clean,0,0.0,0.35424376
clean,0,0.0,0.5575752
clean,0,0.0,0.6126152
clean,0,0.0,0.44227743
clean,0,0.0,0.71439934
clean,0,0.0,0.021584034
clean,0,0.0,-0.084764004
clean,0,0.0,-0.0061192513
clean,0,0.0,0.8351836
clean,0,0.0,0.29429817
clean,0,0.0,-0.2794752
clean,0,0.0,-0.35503054
clean,0,0.0,-0.13539743
clean,0,0.0,-0.114168644
clean,0,0.0,-0.14104223
clean,0,0.0,0.28968692
clean,0,0.0,0.041249752
clean,0,0.0,-0.4282403
clean,0,0.0,-0.11732054
clean,0,0.0,-0.19767237
clean,0,0.0,0.82884884
clean,0,0.0,0.9920306
clean,0,0.0,-0.063910246
clean,0,0.0,0.18181324
clean,0,0.0,-0.19303799
clean,0,0.0,0.023991585
clean,0,0.0,-0.02613163
clean,0,0.0,-0.212286
clean,0,0.0,0.4941883
clean,0,0.0,-0.2583642
clean,0,0.0,-0.25606155
clean,0,0.0,0.08911276
clean,0,0.0,-0.21648312
clean,0,0.0,0.10163689
clean,0,0.0,0.8555746
clean,0,0.0,-0.45282125
clean,0,0.0,0.15193677
clean,0,0.0,0.43759274
clean,0,0.0,0.043809652
clean,0,0.0,-0.16651773
clean,0,0.0,-0.20209599
clean,0,0.0,-0.24221516
clean,0,0.0,-0.1488576
clean,0,0.0,-0.15369844
clean,0,0.0,0.25490117
clean,0,0.0,0.077148914
clean,0,0.0,0.1565485
clean,0,0.0,0.21690655
clean,0,0.0,0.5454421
clean,0,0.0,-0.3520794
clean,0,0.0,0.08934617
clean,0,0.0,-0.1346283
clean,0,0.0,-0.06859398
clean,0,0.0,0.152277
clean,0,0.0,-0.32867002
clean,0,0.0,-0.21701384
clean,0,0.0,0.20545387
clean,0,0.0,0.31975985
clean,0,0.0,-0.032516956
clean,0,0.0,-0.25395513
clean,0,0.0,-0.21921253
clean,0,0.0,0.2883048
clean,0,0.0,0.63310623
clean,0,0.0,-0.244668
clean,0,0.0,-0.2350316
clean,0,0.0,0.20704126
clean,0,0.0,0.22430706
clean,0,0.0,0.7282269
clean,0,0.0,0.080046654
clean,0,0.0,-0.010161161
clean,0,0.0,0.011698961
clean,0,0.0,0.40073085
clean,0,0.0,0.4721408
clean,0,0.0,-0.009610653
clean,0,0.0,-0.4084115
clean,0,0.0,0.010838985
clean,0,0.0,0.64282775
clean,0,0.0,-0.49744797
clean,0,0.0,-0.15497494
clean,0,0.0,-0.17189121
clean,0,0.0,0.54822135
clean,0,0.0,0.90679646
clean,0,0.0,0.6897824
clean,0,0.0,0.3020773
clean,0,0.0,0.1990552
clean,0,0.0,0.0026159286
clean,0,0.0,-0.29643154
clean,0,0.0,-0.19284391
clean,0,0.0,0.2559595
clean,0,0.0,-0.38044596
clean,0,0.0,0.31149578
clean,0,0.0,-0.17157888
clean,0,0.0,-0.07477617
clean,0,0.0,0.04441166
clean,0,0.0,0.3277843
clean,0,0.0,0.39047408
clean,0,0.0,-0.31384993
clean,0,0.0,-0.27205563
clean,0,0.0,0.22061062
clean,0,0.0,0.48128843
clean,0,0.0,0.35482836
clean,0,0.0,0.36895704
clean,0,0.0,0.17091274
clean,0,0.0,-0.3760662
clean,0,0.0,-0.16212773
clean,0,0.0,0.0017323494
clean,0,0.0,0.009517193
clean,0,0.0,-0.2508073
clean,0,0.0,0.26136684
clean,0,0.0,-0.35429
clean,0,0.0,-0.40643406
clean,0,0.0,-0.39692068
clean,0,0.0,0.33920574
clean,0,0.0,-0.06374574
clean,0,0.0,-0.1787839
clean,0,0.0,-0.7606747
clean,0,0.0,0.18055105
clean,0,0.0,0.14430046
clean,0,0.0,-0.42927837
clean,0,0.0,-0.34735012
clean,0,0.0,-0.26710844
clean,0,0.0,-0.25243053
clean,0,0.0,-0.07181692
clean,0,0.0,-0.28226852
clean,0,0.0,-0.15333271
clean,0,0.0,-0.06439829
clean,0,0.0,-0.14369476
clean,0,0.0,-0.33777618
clean,0,0.0,-0.037255287
clean,0,0.0,-0.27174044
clean,0,0.0,-0.13751459
clean,0,0.0,-0.29420853
clean,0,0.0,-0.054246426
clean,0,0.0,-0.473073
clean,0,0.0,-0.168715
