condition,band_idx,r_min,logit_drop
clean,0,0.0,0.16359329
clean,0,0.0,0.08913374
clean,0,0.0,-0.24211311
clean,0,0.0,-0.13988113
clean,0,0.0,0.17782402
clean,0,0.0,0.5055928
clean,0,0.0,0.21183634
clean,0,0.0,0.68953395
clean,0,0.0,0.35775816
clean,0,0.0,0.01728201
clean,0,0.0,-0.13534069
clean,0,0.0,-0.16915321
clean,0,0.0,0.010087013
clean,0,0.0,-0.023224354
clean,0,0.0,0.36073422
clean,0,0.0,0.2899189
clean,0,0.0,0.093391895
clean,0,0.0,-0.27953506
clean,0,0.0,0.15215564
clean,0,0.0,0.2093656
clean,0,0.0,-0.16208386
clean,0,0.0,-0.08698082
clean,0,0.0,-0.39259815
clean,0,0.0,-0.27221298
clean,0,0.0,0.6589203
clean,0,0.0,-0.032649517
clean,0,0.0,0.2187705
clean,0,0.0,0.046811104
clean,0,0.0,-0.07133865
clean,0,0.0,-0.3773117
clean,0,0.0,-0.065526485
clean,0,0.0,0.44172764
clean,0,0.0,0.08789253
clean,0,0.0,0.089221
clean,0,0.0,-0.111835
clean,0,0.0,-0.31372404
clean,0,0.0,-0.20083046
clean,0,0.0,0.22459984
clean,0,0.0,-0.45038462
clean,0,0.0,-0.021389484
clean,0,0.0,-0.10187292
clean,0,0.0,-0.49754524
clean,0,0.0,0.43238163
clean,0,0.0,-0.2830391
clean,0,0.0,0.25572276
clean,0,0.0,-0.15277815
clean,0,0.0,0.18445253
clean,0,0.0,0.059405327
clean,0,0.0,-0.19937134
clean,0,0.0,0.19558
clean,0,0.0,-0.2386775
clean,0,0.0,0.3124876
clean,0,0.0,0.094022036
clean,0,0.0,-0.09511328
clean,0,0.0,-0.11130333
clean,0,0.0,0.010658741
clean,0,0.0,-0.23462915
clean,0,0.0,0.6090293
clean,0,0.0,0.1007669
clean,0,0.0,-0.060670376
clean,0,0.0,0.28830576
clean,0,0.0,0.0117714405
clean,0,0.0,-0.3669324
clean,0,0.0,-0.21631718
clean,0,0.0,0.011703014
clean,0,0.0,-0.16491556
clean,0,0.0,0.13213634
clean,0,0.0,0.197186
clean,0,0.0,0.010253906
clean,0,0.0,-0.31061316
clean,0,0.0,0.1863544
clean,0,0.0,0.4335692
clean,0,0.0,0.037754536
clean,0,0.0,-0.14889956
clean,0,0.0,0.062433243
clean,0,0.0,-0.38040113
clean,0,0.0,0.37697434
clean,0,0.0,-0.01653099
clean,0,0.0,-0.39812803
clean,0,0.0,0.4228735
clean,0,0.0,-0.1688056
clean,0,0.0,-0.21003199
clean,0,0.0,-0.017139912
clean,0,0.0,0.14440823
clean,0,0.0,0.09282255
clean,0,0.0,0.24012017
clean,0,0.0,0.17750502
clean,0,0.0,0.12088251
clean,0,0.0,-0.21665001
clean,0,0.0,-0.13475323
clean,0,0.0,-0.113444805
clean,0,0.0,-0.2410326
clean,0,0.0,0.45104408
clean,0,0.0,0.26989865
clean,0,0.0,-0.47468185
clean,0,0.0,0.5180595
clean,0,0.0,-0.30136633
clean,0,0.0,-0.13397098
clean,0,0.0,0.023674965
clean,0,0.0,-0.01314497
clean,0,0.0,-0.06789684
clean,0,0.0,-0.19078732
clean,0,0.0,-0.59387326
clean,0,0.0,-0.28220463
clean,0,0.0,-0.1613779
clean,0,0.0,-0.43688393
clean,0,0.0,-0.5096898
clean,0,0.0,-0.30076122
clean,0,0.0,-0.2690487
clean,0,0.0,-0.021026134
clean,0,0.0,-0.020749092
clean,0,0.0,-0.3626585
clean,0,0.0,-0.70589757
clean,0,0.0,-0.22895122
clean,0,0.0,-0.7876775
clean,0,0.0,-0.25893164
clean,0,0.0,-0.3032236
clean,0,0.0,0.27275276
clean,0,0.0,-0.059009075
clean,0,0.0,-0.3940363
clean,0,0.0,0.7029495
clean,0,0.0,-0.08181143
clean,0,0.0,-0.25271448
clean,0,0.0,-0.23850727
clean,0,0.0,-0.4106331
clean,0,0.0,0.034203053
clean,0,0.0,-0.16474247
clean,0,0.0,-0.19361687
clean,0,0.0,-0.25886583
clean,0,0.0,-0.30988026
clean,0,0.0,-0.44998407
clean,0,0.0,-0.10769796
clean,0,0.0,0.1905899
clean,0,0.0,0.16836691
clean,0,0.0,-0.25335455
clean,0,0.0,-0.23305464
clean,0,0.0,-0.049781322
clean,0,0.0,-0.39275575
clean,0,0.0,0.00025558472
clean,0,0.0,-0.3099916
clean,0,0.0,-0.16022015
